question	answer
I think he wanted to cool off.	He swam right up to you.
He swam right up to you.	And then he turned right around.
And then he turned right around.	Maybe you're right.
Maybe you're right.	Maybe we should get going.
Are you married?	No. I am divorced.
No. I am divorced.	When did you get divorced?
When did you get divorced?	I got divorced two years ago.
I got divorced two years ago.	Why did you get divorced?
Why did you get divorced?	My wife left me.
My wife left me.	Why did she leave you?
Why did she leave you?	She said she did not love me anymore.
She said she did not love me anymore.	Wow! That is terrible.
Wow! That is terrible.	Yes, It was.
Yes, It was.	Why did not she love you anymore?
Why did not she love you anymore?	She fell in love with my best friend.
I am bored.	What is on tv?
What is on tv?	Nothing.
Nothing.	There must be something on tv!
There must be something on tv!	Nothing that is interesting.
Nothing that is interesting.	What about that new game show?
What about that new game show?	Which one?
Which one?	Deal or no deal.
Deal or no deal.	Tell me you're joking.
Tell me you're joking.	I love that show.
I love that show.	I watched it once. That was enough.
I watched it once. That was enough.	It is on right now. Let us watch it together.
I like living here.	I agree. Pasadena is a nice city.
I agree. Pasadena is a nice city.	It is not too big.
It is not too big.	And it is not too small.
And it is not too small.	It has great weather all year long.
It has great weather all year long.	It has the rose parade.
It has the rose parade.	It has beautiful houses.
It has beautiful houses.	It has wonderful restaurants.
It has wonderful restaurants.	It has great schools.
It has great schools.	It is close to the mountains.
It is close to the mountains.	The people are friendly.
The people are friendly.	I am not ever going to leave.
We need a new mattress.	What is the matter with this one?
What is the matter with this one?	It is not comfortable.
It is not comfortable.	It seems fine to me.
It seems fine to me.	I toss and turn all night.
I toss and turn all night.	You should stop drinking coffee.
You should stop drinking coffee.	Look at these marks on my arms.
Look at these marks on my arms.	What are they?
What are they?	They are bites.
They are bites.	Did the cat bite you?
Did the cat bite you?	No. The bedbugs in that mattress bit me.
No. The bedbugs in that mattress bit me.	Okay. Let us get a new mattress.
My laptop is so slow.	Buy a new one.
Buy a new one.	I would if i had the money.
I would if i had the money.	Why is it so slow?
Why is it so slow?	That is a good question.
That is a good question.	Did you take it to a computer shop?
Did you take it to a computer shop?	I would if i had the money.
I would if i had the money.	Well, I guess you have to live with it.
Well, I guess you have to live with it.	Sometimes i want to throw it out the window.
Sometimes i want to throw it out the window.	You do not want to do that.
You do not want to do that.	Why not?
Why not?	You might hit someone in the head.
What is for dinner?	I am not sure.
I am not sure.	How about a pizza?
How about a pizza?	You had pizza for lunch.
You had pizza for lunch.	But i love pizza.
But i love pizza.	Everybody loves pizza.
Everybody loves pizza.	So why cannot i have pizza for dinner?
So why cannot i have pizza for dinner?	Because you need variety.
Because you need variety.	"What is ""variety?"
"What is ""variety?"	Different thingsnot the same thing all the time.
Different thingsnot the same thing all the time.	You mean, Like a pepperoni pizza instead of a cheese pizza?
You mean, Like a pepperoni pizza instead of a cheese pizza?	No, I mean a salad instead of a pizza.
We need to save money.	Why do we need to save money?
Why do we need to save money?	Because we need to buy a house.
Because we need to buy a house.	But a house is so expensive.
But a house is so expensive.	That is why we need to save money.
That is why we need to save money.	How much do we need to save?
How much do we need to save?	We need to save enough for a down payment.
We need to save enough for a down payment.	How much is that?
How much is that?	That is about $30, 000.
That is about $30, 000.	Thirty thousand dollars! That will take forever.
Thirty thousand dollars! That will take forever.	Not if we save every penny.
Not if we save every penny.	Okay. Here's seven pennies.
The ocean is so big.	You cannot see the end of it.
You cannot see the end of it.	It goes on and on forever.
It goes on and on forever.	And it is deep, Too.
And it is deep, Too.	I think it is five miles deep.
I think it is five miles deep.	Are there fish at the bottom?
Are there fish at the bottom?	There are fish at the top and the bottom.
There are fish at the top and the bottom.	Are there more fish or more people?
Are there more fish or more people?	I think there are more fish.
I think there are more fish.	I hope so. I love to eat fish.
I am upset with my mom.	Why is that?
Why is that?	I warned her about her new boyfriend. She did not listen to me.
I warned her about her new boyfriend. She did not listen to me.	What happened?
What happened?	I gave her $1, 000 for her birthday. I told her to spend it on herself.
I gave her $1, 000 for her birthday. I told her to spend it on herself.	That was very nice of you.
That was very nice of you.	I found out that she gave it to her new boyfriend.
I found out that she gave it to her new boyfriend.	Why did she do that?
Why did she do that?	He said he would buy her a nice ring.
He said he would buy her a nice ring.	What is wrong with that?
What is wrong with that?	He went to lasvegas. He lost it all gambling.
He went to lasvegas. He lost it all gambling.	I hope your mom broke up with him.
Do animals talk to each other?	Of course they talk to each other.
Of course they talk to each other.	What do they talk about?
What do they talk about?	They talk about other animals.
They talk about other animals.	What else do they talk about?
What else do they talk about?	They talk about food and the weather.
They talk about food and the weather.	Do they talk about us?
Do they talk about us?	Of course they talk about us.
Of course they talk about us.	What do they say about us?
What do they say about us?	They say that we are funny-looking.
They say that we are funny-looking.	Ha! We're not funny-looking; animals are funny-looking.
Ha! We're not funny-looking; animals are funny-looking.	We're funny-looking because we wear clothes.
I have to clean the house.	Yes, It is very dirty.
Yes, It is very dirty.	You can help me.
You can help me.	Why me?
Why me?	Because you helped make it dirty.
Because you helped make it dirty.	What do you want me to do?
What do you want me to do?	I want you to clean the bathroom.
I want you to clean the bathroom.	Oh, That is easy.
Oh, That is easy.	Clean the sink, The tub, The counter, And the toilet.
Clean the sink, The tub, The counter, And the toilet.	That is a lot of work.
That is a lot of work.	Tell me when you finish.
Tell me when you finish.	I do not think so. You'll just give me more work.
You're watching too much tv.	What do you mean?
What do you mean?	I mean you're wasting your life.
I mean you're wasting your life.	I am having fun.
I am having fun.	You're sitting there with your mouth open.
You're sitting there with your mouth open.	Who cares?
Who cares?	I care. Do something.
I care. Do something.	Okay. I did something.
Okay. I did something.	What did you do?
What did you do?	I turned up the volume.
I turned up the volume.	"That is not what i meant by ""do something.""."
"That is not what i meant by ""do something.""."	Will you do something? Leave me alone.
Did you write a letter to grandma?	Yes, I did.
Yes, I did.	Did you tell her about school?
Did you tell her about school?	I told her that school is fun.
I told her that school is fun.	Did you put the letter in an envelope?
Did you put the letter in an envelope?	Yes, And i sealed the envelope.
Yes, And i sealed the envelope.	Did you put a stamp on the envelope?
Did you put a stamp on the envelope?	I couldn't find any stamps.
I couldn't find any stamps.	They are in the kitchen drawer.
They are in the kitchen drawer.	Okay. I just put a stamp on the envelope.
Okay. I just put a stamp on the envelope.	Give me the envelope, And I will mail it for you.
Give me the envelope, And I will mail it for you.	When is grandma going to learn about e-mail?
Why are you yawning?	I am sleepy.
I am sleepy.	Why do not you go to bed?
Why do not you go to bed?	I want to watch this tv show.
I want to watch this tv show.	Maybe you should record it.
Maybe you should record it.	The tape recorder is broken.
The tape recorder is broken.	Then you should watch thererun.
Then you should watch thererun.	Why? I am watching the original.
Why? I am watching the original.	But you'll be asleep in about one minute.
But you'll be asleep in about one minute.	I am just yawning because the commercials are on.
I am just yawning because the commercials are on.	Okay. I will tell you how the show ends.
Okay. I will tell you how the show ends.	Zzz.
It is sunday.	So?
So?	You know what that means.
You know what that means.	I forgot.
I forgot.	Sunday means we go to church.
Sunday means we go to church.	Oh, Yeah.
Oh, Yeah.	Put on a coat and tie.
Put on a coat and tie.	Why?
Why?	To show respect to god and others.
To show respect to god and others.	I am glad sunday is only once a week.
I am glad sunday is only once a week.	I hope god did not hear that.
I hope god did not hear that.	He'll forgive me.
Did you feed the cat?	I will do that in a minute.
I will do that in a minute.	The cat is meowing. He is hungry.
The cat is meowing. He is hungry.	Okay. I will feed him right now.
Okay. I will feed him right now.	You should not make him wait.
You should not make him wait.	I was doing my homework.
I was doing my homework.	The cat does not care about your homework.
The cat does not care about your homework.	The cat does not care about anything.
The cat does not care about anything.	That is the way cats are.
That is the way cats are.	All they think about is themselves.
All they think about is themselves.	Maybe we should get rid of him.
Maybe we should get rid of him.	Of course not! He is family.
I hate shaving.	Me too.
Me too.	I just cut myself again.
I just cut myself again.	Did you use a new blade?
Did you use a new blade?	It does not matter. Old blades cut, New blades cut.
It does not matter. Old blades cut, New blades cut.	Maybe you should use an electric shaver.
Maybe you should use an electric shaver.	They make a lot of noise, But they do not give a close shave.
They make a lot of noise, But they do not give a close shave.	Maybe you should stop shaving.
Maybe you should stop shaving.	And grow a beard?
And grow a beard?	Sure. Why not?
Sure. Why not?	Because food and other stuff sticks in my beard.
Because food and other stuff sticks in my beard.	Hmm. Here's an idea. Put cream on your face and have the cat lick it off.
Excuse me.	Yes?
Yes?	Are you reading this paper?
Are you reading this paper?	Oh, No. Help yourself.
Oh, No. Help yourself.	I asked because the paper is sitting next to you.
I asked because the paper is sitting next to you.	Thank you. That is polite of you to ask.
Thank you. That is polite of you to ask.	Some people would just pick it up.
Some people would just pick it up.	Yes, I know. Some people are rude.
Yes, I know. Some people are rude.	I always try to be polite.
I always try to be polite.	So do i.
So do i.	The world needs more polite people like us.
The world needs more polite people like us.	I agree 100 percent.
Mom, I want a puppy.	Let me think about it.
Let me think about it.	Why do you have to think about it?
Why do you have to think about it?	Because a puppy costs money.
Because a puppy costs money.	No, It does not. Puppies are free.
No, It does not. Puppies are free.	Yes, But a puppy needs shots.
Yes, But a puppy needs shots.	Shots for what?
Shots for what?	So it will not get sick. Just like you get shots.
So it will not get sick. Just like you get shots.	I hate shots.
I hate shots.	And a puppy eats food. Food costs money.
And a puppy eats food. Food costs money.	No problem. I will give him food off my plate.
No problem. I will give him food off my plate.	Oh, No you do not. Puppies do not eat vegetables.
Look at all these kittens!	How many are there?
How many are there?	Eight.
Eight.	They are all so cute.
They are all so cute.	Yes, But i cannot keep them.
Yes, But i cannot keep them.	What are you going to do with them?
What are you going to do with them?	I am going to give them away. Do you want one?
I am going to give them away. Do you want one?	Yes, I would love one.
Yes, I would love one.	Which one do you want?
Which one do you want?	That one. The one that is all black.
That one. The one that is all black.	Yes, I like that one, Too.
Yes, I like that one, Too.	I will call him blacky.
My parents go to church every sunday.	They trust in god.
They trust in god.	They hope they will go to heaven.
They hope they will go to heaven.	They probably will.
They probably will.	But no one knows for sure.
But no one knows for sure.	That is for sure.
That is for sure.	No one knows what happens after we die.
No one knows what happens after we die.	If we are good, We will be happy in heaven with god.
If we are good, We will be happy in heaven with god.	That is what many people believe.
That is what many people believe.	If we are bad, We will be unhappy forever in hell.
If we are bad, We will be unhappy forever in hell.	I do not want to go to hell.
I do not want to go to hell.	Let us go to church with your parents on sunday.
My husband died.	I am sorry for you.
I am sorry for you.	Thank you.
Thank you.	When did he die?
When did he die?	A couple of months ago.
A couple of months ago.	You still miss him.
You still miss him.	Yes, But i talk to him almost every day.
Yes, But i talk to him almost every day.	When you go to church?
When you go to church?	No, When i call him on his cell phone.
No, When i call him on his cell phone.	What do you mean?
What do you mean?	I buried him with his cell phone.
I buried him with his cell phone.	What will you do when the battery dies?
Today is friday the thirteenth.	That is a bad day.
That is a bad day.	It is supposed to be unlucky.
It is supposed to be unlucky.	You're supposed to stay home all day.
You're supposed to stay home all day.	That is what i do.
That is what i do.	My friend stayed in a hotel on friday the thirteenth.
My friend stayed in a hotel on friday the thirteenth.	That was a mistake.
That was a mistake.	He stayed on the thirteenth floor.
He stayed on the thirteenth floor.	What happened?
What happened?	Someone stole his laptop.
Someone stole his laptop.	He was asking for it.
He was asking for it.	He learned his lesson. He is home today.
Do you really love me?	Of course.
Of course.	Prove it.
Prove it.	How can i prove it?
How can i prove it?	Take me to dinner.
Take me to dinner.	That is it? That is all i have to do?
That is it? That is all i have to do?	Take me to a nice restaurant, Not to mcdonald's.
Take me to a nice restaurant, Not to mcdonald's.	But a nice restaurant costs money.
But a nice restaurant costs money.	Yes, And you have to make a reservation.
Yes, And you have to make a reservation.	That is such a hassle.
That is such a hassle.	I knew you did not love me.
I knew you did not love me.	Okay, Okay! I will make a reservation right now.
My parents are divorced.	So are mine.
So are mine.	Why did your parents get divorced?
Why did your parents get divorced?	My father found a new girlfriend.
My father found a new girlfriend.	That is too bad.
That is too bad.	My mother was hurt and angry.
My mother was hurt and angry.	She had good reason. What did she do?
She had good reason. What did she do?	She told him to drop his girlfriend.
She told him to drop his girlfriend.	What did your father do?
What did your father do?	He moved out of our house.
He moved out of our house.	I guess he really liked his new girlfriend.
I guess he really liked his new girlfriend.	Yes, But she left him a year later.
My grandma's apartment smells funny.	So does mine.
So does mine.	I think it is an old people's smell.
I think it is an old people's smell.	Really?
Really?	Yes. I think when you get old, You begin to smell.
Yes. I think when you get old, You begin to smell.	Like fruit that is too ripe?
Like fruit that is too ripe?	Yes, Just like fruit that is too ripe.
Yes, Just like fruit that is too ripe.	But the smell is different.
But the smell is different.	Yes, Old people do not smell like fruit.
Yes, Old people do not smell like fruit.	No, They smell like a thrift shop.
No, They smell like a thrift shop.	Yes, A thrift shop has that same smell.
Yes, A thrift shop has that same smell.	Yes, An old smell.
The price of stamps goes up and up.	I think stamps used to cost a penny.
I think stamps used to cost a penny.	That was a long time ago.
That was a long time ago.	It was before i was born.
It was before i was born.	Now a stamp is 42 cents.
Now a stamp is 42 cents.	But in may it will be 44 cents.
But in may it will be 44 cents.	Have you ever lost a letter in the mail?
Have you ever lost a letter in the mail?	No, I haven't.
No, I haven't.	Neither have i.
Neither have i.	So, They do a good job for the money.
So, They do a good job for the money.	Yes, They do.
Yes, They do.	Maybe we should not complain.
A button came off my shirt.	What are you going to do?
What are you going to do?	First, I have to find the button.
First, I have to find the button.	Where did you lose it?
Where did you lose it?	I have no idea.
I have no idea.	A button is hard to find. Did you look in your pant cuffs?
A button is hard to find. Did you look in your pant cuffs?	That is a good idea.
That is a good idea.	I found a button in my pant cuffs one time.
I found a button in my pant cuffs one time.	Let me look. No, It is not there.
Let me look. No, It is not there.	Many shirts come with an extra button.
Many shirts come with an extra button.	You're right. This one does have an extra button.
You're right. This one does have an extra button.	Now all you have to do is sew it on.
I have to go to the bathroom.	You drink too much coffee.
You drink too much coffee.	But i love coffee.
But i love coffee.	Well, It is your life.
Well, It is your life.	You eat too much chocolate.
You eat too much chocolate.	I do not think so.
I do not think so.	Have you looked in the mirror?
Have you looked in the mirror?	Do you think I am getting fat?
Do you think I am getting fat?	I did not say that.
I did not say that.	What did you say?
What did you say?	I said i have to go to the bathroom.
I said i have to go to the bathroom.	That is what i thought you said.
Did you do the laundry?	Yes, I did.
Yes, I did.	What did you wash?
What did you wash?	I washed the sheets and towels.
I washed the sheets and towels.	What about the pillowcases?
What about the pillowcases?	Yes, I took them off the pillows and washed them.
Yes, I took them off the pillows and washed them.	Did you dry everything in the dryer?
Did you dry everything in the dryer?	Yes, I dried everything in the dryer.
Yes, I dried everything in the dryer.	Then what did you do?
Then what did you do?	I folded all the towels.
I folded all the towels.	Did you put the sheets on the beds?
Did you put the sheets on the beds?	Yes, And i put the pillowcases on the pillows.
Do you listen to the radio?	I listen day and night.
I listen day and night.	What do you listen to?
What do you listen to?	Mostly talk radio.
Mostly talk radio.	What is that?
What is that?	People talk about current events.
People talk about current events.	What do they say?
What do they say?	They say they want change.
They say they want change.	What kind of change?
What kind of change?	They want tax cuts.
They want tax cuts.	Why do they want tax cuts?
Why do they want tax cuts?	Because tax cuts will save them money.
Mom, I am hungry.	Look in the fridge.
Look in the fridge.	I am looking. There is nothing to eat.
I am looking. There is nothing to eat.	Are you sure?
Are you sure?	It is almost empty.
It is almost empty.	I went to the market yesterday.
I went to the market yesterday.	I do not see anything.
I do not see anything.	I bought lots of oranges and apples.
I bought lots of oranges and apples.	I do not want fruit. I want something tasty.
I do not want fruit. I want something tasty.	Eat the fruit. It is good for you.
Eat the fruit. It is good for you.	Next time you go to the market, Let me go with you.
Next time you go to the market, Let me go with you.	No, Thank you. All you want to eat are hot dogs and candy bars.
What is there to eat?	I do not know. Look in the fridge.
I do not know. Look in the fridge.	I think I will make a sandwich.
I think I will make a sandwich.	What kind?
What kind?	A ham sandwich.
A ham sandwich.	The bread is in the cabinet.
The bread is in the cabinet.	Where's the mustard?
Where's the mustard?	It is in the fridge, I think.
It is in the fridge, I think.	Oh, Yes, Here it is. Do you want a sandwich?
Oh, Yes, Here it is. Do you want a sandwich?	Yes, That sounds nice.
Yes, That sounds nice.	How about some potato chips?
How about some potato chips?	Yes. And a pickle, If we have any.
It is time for your bath, Young lady.	But, Mom, I am not dirty.
But, Mom, I am not dirty.	You need a bath every day.
You need a bath every day.	Why?
Why?	Because you do not want to smell bad.
Because you do not want to smell bad.	I do not smell bad.
I do not smell bad.	That is what you think.
That is what you think.	If i smelled bad, I could smell me.
If i smelled bad, I could smell me.	I can smell you.
I can smell you.	I can smell you, Too.
I can smell you, Too.	That is my perfume.
That is my perfume.	When can i wear perfume?
Something's wrong with my computer.	Exactly what?
Exactly what?	All i get is a black screen.
All i get is a black screen.	What is the matter?
What is the matter?	I think i know, Because this happened before.
I think i know, Because this happened before.	What happened before?
What happened before?	My hard drive crashed.
My hard drive crashed.	Oh, No. That is bad news.
Oh, No. That is bad news.	It sure is, But I am going to call hp first, Just to make sure.
It sure is, But I am going to call hp first, Just to make sure.	Will you lose all your files?
Will you lose all your files?	No, I always back up my files.
No, I always back up my files.	You're smart.
I called hp about my computer.	What did they say?
What did they say?	They said i need a new hard drive.
They said i need a new hard drive.	That is too bad. How much is a new one?
That is too bad. How much is a new one?	It is not too much, Only about $85.
It is not too much, Only about $85.	Plus installation?
Plus installation?	No, My hard drive is easy to remove and replace.
No, My hard drive is easy to remove and replace.	Really?
Really?	Yes, It is just a couple of screws.
Yes, It is just a couple of screws.	That is nice.
That is nice.	It is a lot better than paying someone $60.
It is a lot better than paying someone $60.	If my hard drive crashes, I will just call you.
What is your email address?	It is bluedog123.
It is bluedog123.	Bluedog123. Are you sure that is all?
Bluedog123. Are you sure that is all?	Yes.
Yes.	No. That is incomplete.
No. That is incomplete.	What do you mean?
What do you mean?	What is your mailing address?
What is your mailing address?	456 cherry drive, Pasadena, Ca 91170.
456 cherry drive, Pasadena, Ca 91170.	That is correct.
That is correct.	So what is the problem?
So what is the problem?	Bluedog123 is just the street. You have to give me the city, State, And zip code.
Bluedog123 is just the street. You have to give me the city, State, And zip code.	Oh, I get it. My email address is bluedog123@yahoo. Com.
I am going to take a nap.	You should unplug the phone.
You should unplug the phone.	That is a good idea.
That is a good idea.	Do you want me to wake you in an hour?
Do you want me to wake you in an hour?	No, Thanks. Just let me sleep until i wake up.
No, Thanks. Just let me sleep until i wake up.	I will start dinner at 6:00.
I will start dinner at 6:00.	Okay. I think I will be awake by then.
Okay. I think I will be awake by then.	If not, Your nose will wake you up.
If not, Your nose will wake you up.	You mean i will smell the food cooking?
You mean i will smell the food cooking?	You might even dream about dinner.
You might even dream about dinner.	I do not think I am going to dream about anything. I am really tired.
I do not think I am going to dream about anything. I am really tired.	Have a nice nap.
That was a nice funeral.	Yes, Dad, It was.
Yes, Dad, It was.	The son gave a nice speech about his father.
The son gave a nice speech about his father.	It was long, Too.
It was long, Too.	I think it was about 45 minutes long.
I think it was about 45 minutes long.	But it went by fast. It was interesting.
But it went by fast. It was interesting.	I liked it.
I liked it.	I will give you a speech like that, Too.
I will give you a speech like that, Too.	Do you think anyone will come to my funeral?
Do you think anyone will come to my funeral?	Of course.
Of course.	I think only the family will be there.
I think only the family will be there.	You have lots of friends. They will be there, Too!
Yikes! What was that noise?	I had to blow my nose.
I had to blow my nose.	Did you have to blow right next to the phone?
Did you have to blow right next to the phone?	Did you hear that?
Did you hear that?	Of course i heard that. I thought a plane had crashed into your house.
Of course i heard that. I thought a plane had crashed into your house.	It wasn't that loud.
It wasn't that loud.	I will blow my nose sometime for you, And you'll see.
I will blow my nose sometime for you, And you'll see.	Okay. I will take your word for it.
Okay. I will take your word for it.	I thought you had an elephant in your house.
I thought you had an elephant in your house.	You're funny.
You're funny.	What did you say? I think I have gone deaf.
What did you say? I think I have gone deaf.	I am going into the bathroom to blow my nose. I will be right back.
I have lots of friends.	Really? How many do you have?
Really? How many do you have?	I do not know, Maybe one hundred.
I do not know, Maybe one hundred.	That is a lot of friends. Do you have a best friend?
That is a lot of friends. Do you have a best friend?	Of course. I have lots of best friends.
Of course. I have lots of best friends.	How many best friends do you have?
How many best friends do you have?	I think about twenty-five.
I think about twenty-five.	Hmm. I have only one best friend.
Hmm. I have only one best friend.	I feel sorry for you.
I feel sorry for you.	I have only a few friends.
I have only a few friends.	You must be lonely. I will share my friends with you.
You must be lonely. I will share my friends with you.	That is very nice of you.
Do not you ever cheat on me.	Why would i do that?
Why would i do that?	Because men like to cheat.
Because men like to cheat.	Some men do, But not me.
Some men do, But not me.	I am watching you.
I am watching you.	I am an open book. Watch me all you want.
I am an open book. Watch me all you want.	If i catch you, You'll be sorry.
If i catch you, You'll be sorry.	You will not catch me, Because i love you. I am not a cheater.
You will not catch me, Because i love you. I am not a cheater.	I will poke your eyes out.
I will poke your eyes out.	I do not want any other woman.
I do not want any other woman.	I will chop your toes off, One by one.
I will chop your toes off, One by one.	Honey, Please. You're the only woman for me, Forever. I swear it.
I hate to go outside.	Me too.
Me too.	Why do you hate to go outside?
Why do you hate to go outside?	I meet too many jerks.
I meet too many jerks.	I agree.
I agree.	This city is full of jerks.
This city is full of jerks.	Rude people are everywhere.
Rude people are everywhere.	But what can you do?
But what can you do?	You can yell at them.
You can yell at them.	And they will yell back at you.
And they will yell back at you.	Yelling does not do any good.
Yelling does not do any good.	No. The best thing to do is just stay home.
Will you look at this form?	Are you having problems with it?
Are you having problems with it?	I do not understand some things.
I do not understand some things.	Let me help you.
Let me help you.	"What does ""mi"" mean?"
"What does ""mi"" mean?"	Mi stands for middle initial.
Mi stands for middle initial.	"What does ""mm/dd/yy"" mean?"
"What does ""mm/dd/yy"" mean?"	That means month/day/year. Use numbers.
That means month/day/year. Use numbers.	I do not understand.
I do not understand.	For example, If your birth date is january 12, 1987, Write 01/12/87.
For example, If your birth date is january 12, 1987, Write 01/12/87.	Oh. That is simple enough.
Oh. That is simple enough.	Always print clearly, And fill in the bubbles completely.
Let us go to the animal shelter.	What do you want to do?
What do you want to do?	I want to get a puppy for my son.
I want to get a puppy for my son.	That will make him so happy.
That will make him so happy.	I will get him one of those little dogs.
I will get him one of those little dogs.	One that will not grow up too big.
One that will not grow up too big.	And eat too much.
And eat too much.	Do you know which one he would like?
Do you know which one he would like?	Oh, Yes, I took him there yesterday. He showed me one that he really liked.
Oh, Yes, I took him there yesterday. He showed me one that he really liked.	I bet you had to drag him away.
I bet you had to drag him away.	He wanted to take it home yesterday.
He wanted to take it home yesterday.	I wonder what he'll name it.
What is the weather like?	I do not know. I just woke up.
I do not know. I just woke up.	Why do not you look outside?
Why do not you look outside?	Okay. It looks like rain.
Okay. It looks like rain.	Why do you say that?
Why do you say that?	The sky is gray.
The sky is gray.	Is it raining right now?
Is it raining right now?	No.
No.	How do you know?
How do you know?	The street isn't wet.
The street isn't wet.	I have to go shopping today.
I have to go shopping today.	You'd better take an umbrella.
I cannot believe how hot it is.	It is not even noon yet.
It is not even noon yet.	That means it will get hotter.
That means it will get hotter.	I am dying from the heat.
I am dying from the heat.	Turn on the air conditioner.
Turn on the air conditioner.	It does not work.
It does not work.	What happened?
What happened?	I do not know.
I do not know.	Did you call the repairman?
Did you call the repairman?	Of course.
Of course.	When is he coming?
When is he coming?	He is busy. He said next week.
I will be glad when winter comes.	Why is that?
Why is that?	Because i love the snow.
Because i love the snow.	Yes, The snow is fun.
Yes, The snow is fun.	Last year we made a big snowman.
Last year we made a big snowman.	How big was it?
How big was it?	It was seven feet tall.
It was seven feet tall.	How long did it take?
How long did it take?	It took us all day.
It took us all day.	Did you give him a nose?
Did you give him a nose?	Of course. We gave him a big carrot for a nose.
Of course. We gave him a big carrot for a nose.	Let me help you make one this year.
I am going to the bank.	What do you need to do?
What do you need to do?	I need to withdraw some money.
I need to withdraw some money.	How are you going to do that?
How are you going to do that?	I will just use the atm.
I will just use the atm.	What is that?
What is that?	It is the automatic teller machine.
It is the automatic teller machine.	It gives you money?
It gives you money?	I just insert my debit card into the machine.
I just insert my debit card into the machine.	And it gives you money?
And it gives you money?	Well, It gives me money, But it is my own money.
Well, It gives me money, But it is my own money.	Oh. What good is that? I thought it gave you free money.
Did you put the blue bin out on the street?	Oh, No. I forgot.
Oh, No. I forgot.	Well, You'd better take it out front.
Well, You'd better take it out front.	What time does the recycle truck come by?
What time does the recycle truck come by?	It usually gets here at noon ontuesday, Which is tomorrow.
It usually gets here at noon ontuesday, Which is tomorrow.	I will just take it out to the street tomorrow morning.
I will just take it out to the street tomorrow morning.	Oh, No, You do not.
Oh, No, You do not.	What do you mean?
What do you mean?	Every morning you get up late and rush off to work late.
Every morning you get up late and rush off to work late.	Do you think I will forget to do it?
Do you think I will forget to do it?	You'll remember to do it, But you will not have time to do it.
You'll remember to do it, But you will not have time to do it.	Okay, I will take it out front right now.
Are you ready?	Ready for what?
Ready for what?	Ready for the big switch.
Ready for the big switch.	What are you talking about?
What are you talking about?	The nation is switching to digital tv.
The nation is switching to digital tv.	Oh. Of course I am ready.
Oh. Of course I am ready.	Did you buy the converter?
Did you buy the converter?	No, I do not need a converter because i bought a digital tv.
No, I do not need a converter because i bought a digital tv.	How much was that?
How much was that?	It was only about $120 for a 13-inch screen.
It was only about $120 for a 13-inch screen.	Does it pick up any digital channels?
Does it pick up any digital channels?	Oh, Yes. I get six korean channels but nothing in english!
People are funny.	They sure are.
They sure are.	Did you hear about the pilot?
Did you hear about the pilot?	The one that stole a small plane?
The one that stole a small plane?	Yes, He stole a plane in canada and flew into the u.S.
Yes, He stole a plane in canada and flew into the u.S.	Did they catch him?
Did they catch him?	Yes. After two u.S. Fighter jets followed him for an hour, He landed on a highway.
Yes. After two u.S. Fighter jets followed him for an hour, He landed on a highway.	Did he crash?
Did he crash?	No, He just landed the plane and walked to a restaurant.
No, He just landed the plane and walked to a restaurant.	Did the cops find out why he flew into the u.S.?.
Did the cops find out why he flew into the u.S.?.	His life sucked. He was hoping a fighter jet would shoot him down.
His life sucked. He was hoping a fighter jet would shoot him down.	Poor guy.
The police need our help finding a robber.	How do you know?
How do you know?	The tv news is reporting a bank robbery.
The tv news is reporting a bank robbery.	Do they know what the robber looks like?
Do they know what the robber looks like?	Yes, He is 6 feet tall, 200 pounds, Black hair, And about 30 years old.
Yes, He is 6 feet tall, 200 pounds, Black hair, And about 30 years old.	What race is he?
What race is he?	They did not say.
They did not say.	The tv news does not tell us the race anymore.
The tv news does not tell us the race anymore.	Of course not. That would be racist.
Of course not. That would be racist.	But how can we identify someone if we do not know their race?
But how can we identify someone if we do not know their race?	Do not ask me.
Do not ask me.	Then they also should not tell us if the robber is male or female, Because that is sexist.
Do not wipe your nose on your sleeve.	But i do not have a tissue.
But i do not have a tissue.	Then go find a tissue in the bathroom.
Then go find a tissue in the bathroom.	I did not have time to get one from there.
I did not have time to get one from there.	Your sleeves are not tissues.
Your sleeves are not tissues.	But mom, All my friends use their sleeves.
But mom, All my friends use their sleeves.	That does not make it right.
That does not make it right.	I saw dad wipe his nose on his sleeve yesterday.
I saw dad wipe his nose on his sleeve yesterday.	I will talk to your father about that.
I will talk to your father about that.	I bet dad did it all the time when he was my age.
I bet dad did it all the time when he was my age.	Your daddy was a good little boy.
Your daddy was a good little boy.	How do you know? Were you his mommy, Too?
I am worried.	Worried about what?
Worried about what?	I am getting married.
I am getting married.	You should be happy, Not worried.
You should be happy, Not worried.	I am happy, But marriage is a lot of responsibility.
I am happy, But marriage is a lot of responsibility.	Yes, You have to take care of your wife.
Yes, You have to take care of your wife.	And i have to take care of our children.
And i have to take care of our children.	Are you going to start a family?
Are you going to start a family?	Yes. We want to have a little boy and a little girl.
Yes. We want to have a little boy and a little girl.	That sounds wonderful.
That sounds wonderful.	Except we cannot afford it!
Except we cannot afford it!	No wonder you're worried.
I do not get art.	Or artists.
Or artists.	They are in a different world.
They are in a different world.	I saw a painting of a jar that was full of pencils.
I saw a painting of a jar that was full of pencils.	The artist said the jar was both full and empty.
The artist said the jar was both full and empty.	But it was full of pencils! How could he say it was empty?
But it was full of pencils! How could he say it was empty?	Artists see things differently.
